06-14 09:58:09   view.front front.py     40     run                            INFO     Start logging:
06-14 09:58:28   openai   util.py      64     log_info                       INFO     message='Request to OpenAI API' method=post path=https://api.openai.com/v1/engines/davinci/completions
06-14 09:58:32   openai   util.py      64     log_info                       INFO     message='OpenAI API response' path=https://api.openai.com/v1/engines/davinci/completions processing_ms=1459 response_code=200
06-14 09:58:42   openai   util.py      64     log_info                       INFO     message='Request to OpenAI API' method=post path=https://api.openai.com/v1/engines/davinci/completions
06-14 09:58:45   openai   util.py      64     log_info                       INFO     message='OpenAI API response' path=https://api.openai.com/v1/engines/davinci/completions processing_ms=2154 response_code=200
06-14 10:00:48   openai   util.py      64     log_info                       INFO     message='Request to OpenAI API' method=post path=https://api.openai.com/v1/engines/davinci/completions
06-14 10:00:51   openai   util.py      64     log_info                       INFO     message='OpenAI API response' path=https://api.openai.com/v1/engines/davinci/completions processing_ms=2555 response_code=200
06-14 10:01:14   openai   util.py      64     log_info                       INFO     message='Request to OpenAI API' method=post path=https://api.openai.com/v1/engines/davinci/completions
06-14 10:01:17   openai   util.py      64     log_info                       INFO     message='OpenAI API response' path=https://api.openai.com/v1/engines/davinci/completions processing_ms=2682 response_code=200
06-14 10:01:51   openai   util.py      64     log_info                       INFO     message='Request to OpenAI API' method=post path=https://api.openai.com/v1/engines/davinci/completions
06-14 10:01:53   openai   util.py      64     log_info                       INFO     message='OpenAI API response' path=https://api.openai.com/v1/engines/davinci/completions processing_ms=1297 response_code=200
06-14 10:09:05   openai   util.py      64     log_info                       INFO     message='Request to OpenAI API' method=post path=https://api.openai.com/v1/engines/davinci/completions
06-14 10:09:07   openai   util.py      64     log_info                       INFO     message='OpenAI API response' path=https://api.openai.com/v1/engines/davinci/completions processing_ms=1305 response_code=200
06-14 10:38:07   openai   util.py      64     log_info                       INFO     message='Request to OpenAI API' method=post path=https://api.openai.com/v1/engines/davinci/completions
06-14 10:38:12   openai   util.py      64     log_info                       INFO     message='OpenAI API response' path=https://api.openai.com/v1/engines/davinci/completions processing_ms=1020 response_code=200
06-14 10:41:11   openai   util.py      64     log_info                       INFO     message='Request to OpenAI API' method=post path=https://api.openai.com/v1/engines/davinci/completions
06-14 10:41:14   openai   util.py      64     log_info                       INFO     message='OpenAI API response' path=https://api.openai.com/v1/engines/davinci/completions processing_ms=2080 response_code=200
